Country,GDP per capita,Life Expectancy,GHG Emissions,Labor Force Participation,Military Expenditure,Development Status,Status Label,GDP per capita (log),GHG Emissions per Capita,GHG Emissions per Capita (log)
Aruba,21947.9953301189,75.406,0.4822,60.01440606717643,2.1092126445396673,1,Developed,9.996476646618394,2.1970115846447454e-05,2.196987450698713e-05
Australia,58132.798523626,83.2,584.5715,65.104,2.01065640494339,1,Developed,10.970502503883484,0.010055794918636538,0.010005571821057263
Austria,43428.6983141255,81.1926829268293,77.2734,60.364,0.884127145088915,1,Developed,10.678898779019027,0.0017793165118850976,0.0017777354035106896
Azerbaijan,5083.56025445721,70.312,54.7245,67.223,3.2351087559283496,0,Developing,8.533963825777006,0.010764994858085563,0.010707464806474557
"Bahamas, The",23879.3136835653,72.994,1.791,68.402,2.1092126445396673,1,Developed,10.080809703247956,7.500215557839244e-05,7.499934305735095e-05
Bahrain,23586.9309581516,78.683,63.1845,69.585,3.2351087559283496,1,Developed,10.06849046012576,0.002678792765031754,0.0026752111944571863
Bangladesh,1604.6659234742,71.421,251.5593,59.852,1.24468950875224,0,Developing,7.381293855105994,0.15676739707624543,0.1456293883082562
Barbados,16166.6559507829,76.647,0.8647,63.807,2.1092126445396673,1,Developed,9.690767979217192,5.3486633391126585e-05,5.348520303215399e-05
Belarus,6252.00220091446,72.1385609756098,88.5806,64.006,1.40325859867166,1,Developed,8.7408169795446,0.014168357136381622,0.014068924065969008
Belgium,40769.0218401768,80.6951219512195,115.8177,53.382,1.01248470692312,1,Developed,10.615702331505497,0.0028408260677440316,0.002836798547224292
Belize,5003.87784847193,71.58,0.8333,64.449,1.25112140600777,0,Developing,8.518168285551777,0.00016653084372442682,0.0001665169790027189
Benin,1126.6540412547,60.154,17.6528,74.791,0.458762015150415,0,Developing,7.027894684000292,0.0156683412597011,0.01554686009652623
Bermuda,98982.425748059,81.456,0.3441,60.01440606717643,2.1092126445396673,1,Developed,11.502707698414717,3.4763746937849487e-06,3.476368651208447e-06
Bhutan,3092.12428419388,72.253,3.0652,67.827,1.8049708592377387,0,Developing,8.036936954287697,0.0009912926254835518,0.0009908016194092254
Bolivia,2949.81954615545,62.906,48.0161,72.869,1.39204744468967,0,Developing,7.989838223007271,0.016277639783959057,0.01614657932942322
Bosnia and Herzegovina,5490.75367062899,76.04,30.4448,48.752,0.827298283159884,0,Developing,8.611002913483745,0.005544739725414128,0.005529424243594594
Botswana,6254.2461755493,67.643,10.5047,61.735,3.2351087559283496,1,Developed,8.741175778729167,0.0016796108923674386,0.0016782019234516245
Brazil,8435.01143297182,74.506,1215.9991,60.479,1.32666026860555,1,Developed,9.040264896857565,0.14416093086095316,0.13467155689347535
British Virgin Islands,2588.0664359177026,76.894,0.0795,59.04029076105143,1.8049708592377387,0,Developing,7.859052640263441,3.071791314808736e-05,3.071744136265476e-05
Brunei Darussalam,30015.9587299585,75.114,12.574,64.036,3.2351087559283496,1,Developed,10.30951779192614,0.0004189104906867449,0.00041882277218375363
Bulgaria,7990.69254981114,73.3560975609756,53.5659,55.726,1.59346116571228,1,Developed,8.986157849845059,0.006703536604129015,0.006681167813652674
Burkina Faso,713.8421779224,60.454,28.8247,51.528,2.13201807583334,0,Developing,6.572061788151055,0.04037965378270694,0.03958569825225708
Burundi,255.078218433565,62.569,6.0366,78.23707675300784,2.18591328366483,0,Developing,5.545482938567605,0.02366568198990393,0.023389990878589638
Cabo Verde,3255.93628984058,73.818,1.1897,55.0,0.618818770532046,0,Developing,8.088542244090313,0.00036539412755470443,0.0003653273873776296
Cambodia,1908.63427518336,70.059,46.5094,78.23707675300784,2.39555954750291,0,Developing,7.554667023744647,0.024367895203774387,0.024075734754283644
Cameroon,1434.51913723409,61.674,38.7752,65.915,0.96440732254506,0,Developing,7.269281830878797,0.027030102975665302,0.02667124208029779
Canada,42366.1285192527,81.5351219512195,711.9313,64.097,1.40083568623706,1,Developed,10.654128069769907,0.016804256723067644,0.016664627276031626
Cayman Islands,75199.6450417809,79.23,0.3358,60.01440606717643,2.1092126445396673,1,Developed,11.2279150875844,4.4654466096672346e-06,4.465436639590203e-06
Central African Republic,398.834274122139,51.169391225819766,12.4974,73.002,1.85914200170463,0,Developing,5.991050146561283,0.031334819524995984,0.03085390452083045
Chad,601.325555951846,53.082,81.9807,59.367,3.00516441872389,0,Developing,6.400798089751957,0.13633330429509466,0.12780667893332454
