Model,R² Score,MSE,MAE
Custom GD,-100.26887680114737,5422.878454038034,73.41083953838337
SGD,-461.28076716644347,24754.816002409505,110.34015835140299
Linear Regression,0.7901924001920922,11.235052154531715,2.8087269335252207
