Country,GDP per capita,Life Expectancy,GHG Emissions,Labor Force Participation,Military Expenditure
Low & middle income,4692.43176532252,70.6674106202506,30715.3456,59.6717081602968,1.78291968504852
Low income,699.867964986009,63.3694817765636,963.6666,62.1794959604609,1.34851455113815
Lower middle income,2023.50424369151,68.045202107109,7024.244,56.1934733938204,2.17974940307462
Middle East & North Africa,7067.86465301669,72.6473205039178,3638.9024,44.679127216694,5.23399899418752
Middle East & North Africa (excluding high income),3774.65352636265,71.6409876742629,2110.8255,40.8423994903822,2.89523081109296
Middle East & North Africa (IDA & IBRD countries),3784.54884071019,71.602007086554,2110.8255,40.8414377650953,2.89523081109296
Middle income,5163.6994642281,71.5286230831394,29751.679,59.4404940380227,1.78867500041536
North America,57737.897806055,77.449874465938,6383.8798,61.824689007551,3.48863665324691
Not classified,,,,,
OECD members,36385.5052653603,78.9574582347209,14244.6094,59.2428440838223,2.44664655202383
Other small states,12299.5886034111,73.1628849294383,127.58,58.6155887846017,2.34280443612822
Pacific island small states,3524.51350515927,68.3568108792759,6.7568,64.0825780969011,
Post-demographic dividend,41703.96284105,80.0635835800272,12734.0688,59.8580732909462,2.48490611668265
Pre-demographic dividend,1407.22788932783,60.501207001444,1801.8447,67.1144021116393,1.3888555668484
Small states,10913.6905498358,72.2829532662199,150.2672,59.1188840242942,2.2755055862446
South Asia,1745.81850493103,69.6005740994618,4338.046,51.9337945599124,2.65017267013044
South Asia (IDA & IBRD),1745.81850493103,69.6005740994618,4338.046,51.9337945599124,2.65017267013044
Sub-Saharan Africa,1532.69557630294,61.1675270829902,2288.2718,68.0950267765832,1.04076069055312
Sub-Saharan Africa (excluding high income),1531.38863702908,61.1661735295458,2287.0521,68.0950267765832,1.04032909349639
Sub-Saharan Africa (IDA & IBRD countries),1532.69557630294,61.1675270829902,2288.2718,68.0950267765832,1.04076069055313
Upper middle income,8499.78691038916,75.2293474558881,22727.435,62.4596976340328,1.69145938221841
World,10523.9210942655,72.1827671974507,49327.538885203,59.7680231039701,2.3295001546231
Afghanistan,527.834554499306,61.454,26.6463,41.579,1.35885692738929
Albania,4417.04105105395,77.824,7.9674,57.78,1.29583570269739
Algeria,4363.68533766912,73.257,241.132,39.552,6.65871082968014
American Samoa,13194.274740128,72.672,0.0085,,
Andorra,34536.6499209948,79.418,,,
Angola,2433.37637275564,63.116,61.6801,74.729,1.73699395811082
Antigua and Barbuda,14935.6150238496,77.161,0.3413,,
Argentina,11393.0505957877,75.878,347.3124,56.023,0.734111593948744
Armenia,4032.09043454955,73.3756097560976,9.9936,62.452,4.98254372367497
Aruba,21947.9953301189,75.406,0.4822,,
Australia,58132.798523626,83.2,584.5715,65.104,2.01065640494339
Austria,43428.6983141255,81.1926829268293,77.2734,60.364,0.884127145088915
Azerbaijan,5083.56025445721,70.312,54.7245,67.223,5.24152602506817
"Bahamas, The",23879.3136835653,72.994,1.791,68.402,
Bahrain,23586.9309581516,78.683,63.1845,69.585,4.04564950980392
Bangladesh,1604.6659234742,71.421,251.5593,59.852,1.24468950875224
Barbados,16166.6559507829,76.647,0.8647,63.807,
Belarus,6252.00220091446,72.1385609756098,88.5806,64.006,1.40325859867166
Belgium,40769.0218401768,80.6951219512195,115.8177,53.382,1.01248470692312
Belize,5003.87784847193,71.58,0.8333,64.449,1.25112140600777
Benin,1126.6540412547,60.154,17.6528,74.791,0.458762015150415
Bermuda,98982.425748059,81.456,0.3441,,
Bhutan,3092.12428419388,72.253,3.0652,67.827,
Bolivia,2949.81954615545,62.906,48.0161,72.869,1.39204744468967
Bosnia and Herzegovina,5490.75367062899,76.04,30.4448,48.752,0.827298283159884
Botswana,6254.2461755493,67.643,10.5047,61.735,3.33478768726661
Brazil,8435.01143297182,74.506,1215.9991,60.479,1.32666026860555
British Virgin Islands,,76.894,0.0795,,
Brunei Darussalam,30015.9587299585,75.114,12.574,64.036,3.63429176862407
Bulgaria,7990.69254981114,73.3560975609756,53.5659,55.726,1.59346116571228
Burkina Faso,713.8421779224,60.454,28.8247,51.528,2.13201807583334
Burundi,255.078218433565,62.569,6.0366,78.547,2.18591328366483
Cabo Verde,3255.93628984058,73.818,1.1897,55.0,0.618818770532046
Cambodia,1908.63427518336,70.059,46.5094,82.238,2.39555954750291
Cameroon,1434.51913723409,61.674,38.7752,65.915,0.96440732254506
Canada,42366.1285192527,81.5351219512195,711.9313,64.097,1.40083568623706
Cayman Islands,75199.6450417809,79.23,0.3358,,
Central African Republic,398.834274122139,50.596,12.4974,73.002,1.85914200170463
Chad,601.325555951846,53.082,81.9807,59.367,3.00516441872389
Channel Islands,58640.7349454753,80.9,,57.861,
Chile,12679.0240036611,79.349,124.0909,56.358,2.06377550015856
China,10358.1699971792,78.019,14497.8987,65.976,1.75669947098837
Colombia,5891.95523215403,74.757,196.5034,63.415,3.53698651555212
Comoros,1359.7070894329,65.756,0.7721,49.033,
"Congo, Dem. Rep.",471.504423341186,60.428,50.7937,63.44,0.743310281501406
"Congo, Rep.",1725.51040049963,64.391,25.0299,66.877,2.60118726630221
Costa Rica,12242.2098908533,79.725,14.3721,60.621,
Cote d'Ivoire,2055.08483996432,60.14,29.5006,65.02,0.989482626607969
Croatia,13544.9715102628,77.5243902439024,25.04,51.011,1.70256133740463
Cuba,7252.31672155863,77.407,39.5182,51.417,
Curacao,14901.2436090623,76.501,,,
Cyprus,27391.58984375,81.23,9.3305,65.734,1.92017174602879
Czechia,19233.1469565497,78.2268292682927,117.9742,59.46,1.32244994903778
Denmark,55934.5556066994,81.6024390243903,43.5573,62.125,1.37713112053436
Djibouti,2776.54090852115,64.2,2.0844,31.139,
Dominica,6996.13658633828,71.269,0.1347,,
Dominican Republic,7565.84276444044,72.636,43.009,60.365,0.746231922011371
Ecuador,5355.68933100132,72.004,64.5465,59.926,2.37312249582349
"Egypt, Arab Rep.",3770.86947867421,69.79,306.7631,41.616,1.12247550332399
El Salvador,3808.53195436409,70.244,11.2159,56.752,1.37945779018632
Equatorial Guinea,5575.26241511492,62.141,9.3375,57.701,1.64082995887433
Eritrea,,66.98,6.2963,77.07,
Estonia,19946.944991505,78.5951219512195,14.5111,63.039,2.29675683425333
Eswatini,3542.91502785498,59.862,3.0266,48.222,1.8608190625872
Ethiopia,799.47559497498,65.969,169.9928,69.353,0.521624297220978
Faroe Islands,54295.461892057,82.6439024390244,0.0507,,
Fiji,4729.3813514501,66.924,3.0919,56.733,1.58932558621181
Finland,44690.9801797392,81.9317073170732,52.6471,58.849,1.42582276779338
France,35709.204585868,82.1756097560976,398.3513,54.271,1.99647774299432
French Polynesia,19811.8102319951,82.459,1.2107,53.984,
Gabon,6534.27966529444,67.073,19.7598,47.947,1.72005326971719
"Gambia, The",670.758642891251,64.418,1.9232,47.844,0.809324910343592
Georgia,4659.60925318234,73.509,17.3462,63.399,1.8054778310535
Germany,42362.6472136853,81.0414634146342,749.7997,60.478,1.37427175481016
Ghana,1968.96680139824,64.309,45.3548,64.503,0.350949233772808
Gibraltar,,83.07,0.6622,,
Greece,17486.9513800415,81.2878048780488,71.7053,50.055,3.069343544579
Greenland,48139.5825957628,71.8507317073171,0.5919,,
Grenada,8413.28335500372,75.019,0.1772,,
Guam,32884.8852646787,75.529,0.0151,60.855,
